Date,Open,High,Low,Close,Volume,Sentiment,Label,,Date,Sentiment
6/29/18,186.29,187.19,182.91,185.11,22737666,1.313,1,,6/29/18,1.313
6/28/18,184.1,186.21,183.8,185.5,17365235,0.409,1,,6/28/18,0.409
6/27/18,185.2278,187.28,184.03,184.16,25285328,1.13,0,,6/27/18,1.13
6/26/18,182.99,186.53,182.54,184.43,24569201,1.341,1,,6/26/18,1.341
6/25/18,183.4,184.92,180.73,182.17,31663096,0.804,0,,6/25/18,0.804
6/22/18,186.12,186.15,184.7,184.92,27200447,1.75,1,,6/24/18,1.75
6/21/18,187.25,188.35,184.94,185.46,25711898,2.222,1,,6/23/18,2.222
6/20/18,186.35,187.2,185.73,186.5,20628701,0.333,1,,6/22/18,0.333
6/19/18,185.14,186.33,183.45,185.69,33578455,1.321,0,,6/21/18,1.321
6/18/18,187.88,189.22,187.2,188.74,18484865,0.738,1,,6/20/18,0.738
6/15/18,190.03,190.16,188.26,188.84,61719160,0.623,0,,6/19/18,0.623
6/14/18,191.55,191.57,190.22,190.8,21610074,1.508,1,,6/18/18,1.508
6/13/18,192.42,192.88,190.44,190.7,21638393,1.75,0,,6/17/18,1.75
6/12/18,191.385,192.611,191.15,192.28,16911141,1.556,1,,6/16/18,1.556
6/11/18,191.35,191.97,190.21,191.23,18308460,1.121,0,,6/15/18,1.121
6/8/18,191.17,192,189.77,191.7,26656799,0.231,0,,6/14/18,0.231
6/7/18,194.14,194.2,192.335,193.46,21347180,1.056,1,,6/13/18,1.056
6/6/18,193.63,194.08,191.92,193.98,20933619,1.654,1,,6/12/18,1.654
6/5/18,193.065,193.94,192.36,193.31,21565963,0.469,0,,6/11/18,0.469
6/4/18,191.635,193.42,191.35,191.83,26266174,1.333,0,,6/10/18,1.333
6/1/18,187.9912,190.26,187.75,190.24,23442510,1.6,1,,6/9/18,1.6
5/31/18,187.22,188.23,186.14,186.87,27482793,-1.09,0,,6/8/18,-1.09
5/30/18,187.72,188,186.78,187.5,18690547,1.273,1,,6/7/18,1.273
5/29/18,187.6,188.75,186.87,187.9,22514075,0.774,0,,6/6/18,0.774
5/25/18,188.23,189.65,187.65,188.58,17460963,1.45,1,,6/5/18,1.45
5/24/18,188.77,188.84,186.21,188.15,23233975,2.193,0,,6/4/18,2.193
5/23/18,186.35,188.5,185.76,188.36,20058415,2.308,1,,6/3/18,2.308
5/22/18,188.375,188.88,186.78,187.16,15240704,2.833,1,,6/2/18,2.833
5/21/18,188,189.27,186.9106,187.63,18400787,1.725,0,,6/1/18,1.725
5/18/18,187.19,187.8102,186.13,186.31,18297728,1.333,1,,5/31/18,1.333
5/17/18,188,188.91,186.36,186.99,17294029,1.8,1,,5/30/18,1.8
5/16/18,186.07,188.46,186,188.18,19183064,1.7,0,,5/29/18,1.7
5/15/18,186.78,187.07,185.1,186.44,23695159,2.533,0,,5/28/18,2.533
5/14/18,189.01,189.53,187.86,188.15,20778772,1.556,1,,5/27/18,1.556
5/11/18,189.49,190.06,187.45,188.59,26212221,1.4,0,,5/26/18,1.4
5/10/18,187.74,190.37,187.65,190.04,27989289,0.781,0,,5/25/18,0.781
5/9/18,186.55,187.4,185.22,187.36,23211241,1.277,1,,5/24/18,1.277
5/8/18,184.99,186.22,183.665,186.05,28402777,1.357,0,,5/23/18,1.357
5/7/18,185.18,187.67,184.75,185.16,42451423,2,0,,5/22/18,2
5/4/18,178.25,184.25,178.17,183.83,56201317,2.167,0,,5/21/18,2.167
5/3/18,175.88,177.5,174.4411,176.89,34068180,1.286,1,,5/20/18,1.286
5/2/18,175.225,177.75,173.8,176.57,66539371,1,0,,5/19/18,1
5/1/18,166.4102,169.2,165.27,169.1,53569376,1.55,1,,5/18/18,1.55
4/30/18,162.1302,167.26,161.84,165.26,42427424,0.813,1,,5/17/18,0.813
4/27/18,164,164.33,160.63,162.32,35655839,0.69,1,,5/16/18,0.69
4/26/18,164.12,165.73,163.37,164.22,27963014,1.226,1,,5/15/18,1.226
4/25/18,162.62,165.42,162.41,163.65,28382084,1.31,0,,5/14/18,1.31
4/24/18,165.67,166.33,161.2201,162.94,33692017,1,0,,5/13/18,1
4/23/18,166.8348,166.92,164.09,165.24,36515477,0.769,0,,5/12/18,0.769
4/20/18,170.595,171.2184,165.43,165.72,65491140,1.652,0,,5/11/18,1.652
4/19/18,174.95,175.39,172.66,172.8,34808800,0.875,1,,5/10/18,0.875
4/18/18,177.81,178.82,176.88,177.84,20754538,1.524,1,,5/9/18,1.524
4/17/18,176.49,178.9365,176.41,178.24,26605442,1.286,0,,5/8/18,1.286
4/16/18,175.0301,176.19,174.8301,175.82,21578420,1.88,1,,5/7/18,1.88
4/13/18,174.78,175.84,173.85,174.73,25124255,1.606,0,,5/6/18,1.606
4/12/18,173.41,175,173.04,174.14,22889285,0.806,1,,5/5/18,0.806
4/11/18,172.23,173.9232,171.7,172.44,22431640,0.967,1,,5/4/18,0.967
4/10/18,173,174,171.53,173.25,28614241,1.778,0,,5/3/18,1.778
4/9/18,169.88,173.09,169.845,170.05,29017718,0.973,0,,5/2/18,0.973
4/6/18,170.97,172.48,168.2,168.38,35005290,-1.45,0,,5/1/18,-1.45
4/5/18,172.58,174.2304,172.08,172.8,26933197,-1.109,1,,4/30/18,-1.109
4/4/18,164.88,172.01,164.77,171.61,34605489,2,0,,4/29/18,2
4/3/18,167.64,168.7455,164.88,168.39,30278046,0.941,1,,4/28/18,0.941
4/2/18,167.88,168.94,164.47,166.68,37586791,1.075,0,,4/27/18,1.075
3/29/18,167.805,171.75,166.9,167.78,38398505,1.316,0,,4/26/18,1.316
3/28/18,167.25,170.02,165.19,166.48,41668545,0.757,0,,4/25/18,0.757
3/27/18,173.68,175.15,166.92,168.34,40922579,0.45,1,,4/24/18,0.45
3/26/18,168.07,173.1,166.44,172.77,37541236,0.333,1,,4/23/18,0.333
3/23/18,168.39,169.92,164.94,164.94,41028784,1.267,0,,4/22/18,1.267
3/22/18,170,172.68,168.6,168.85,41490767,0.5,0,,4/21/18,0.5
3/21/18,175.04,175.09,171.26,171.27,37054935,-1.772,1,,4/20/18,-1.772
3/20/18,175.24,176.8,174.94,175.24,19649350,0.532,1,,4/19/18,0.532
3/19/18,177.32,177.47,173.66,175.3,33446771,1.385,0,,4/18/18,1.385
3/16/18,178.65,179.12,177.62,178.02,39404688,2.111,0,,4/17/18,2.111
3/15/18,178.5,180.24,178.0701,178.65,22743798,0.429,1,,4/16/18,0.429
3/14/18,180.32,180.52,177.81,178.44,29368356,0.625,0,,4/15/18,0.625
3/13/18,182.59,183.5,179.24,179.97,31693529,0.375,0,,4/14/18,0.375
3/12/18,180.29,182.39,180.21,181.72,32207081,2,0,,4/13/18,2
3/9/18,177.96,180,177.39,179.98,32185162,1.444,1,,4/12/18,1.444
3/8/18,175.48,177.12,175.07,176.94,23774107,1.111,1,,4/11/18,1.111
3/7/18,174.94,175.85,174.27,175.03,31703462,1,0,,4/10/18,1
3/6/18,177.91,178.25,176.13,176.67,23788506,1.947,1,,4/9/18,1.947
3/5/18,175.21,177.74,174.52,176.82,28401366,1.857,0,,4/8/18,1.857
3/2/18,172.8,176.3,172.45,176.21,38453950,1.5,0,,4/7/18,1.5
3/1/18,178.54,179.775,172.66,175,48801970,1.31,0,,4/6/18,1.31
2/28/18,179.26,180.615,178.05,178.12,37782138,1.55,1,,4/5/18,1.55
2/27/18,179.1,180.48,178.16,178.39,38928125,1.638,0,,4/4/18,1.638
2/26/18,176.35,179.39,176.21,178.97,38162174,1.595,1,,4/3/18,1.595
2/23/18,173.67,175.65,173.54,175.5,33812360,0.757,1,,4/2/18,0.757
2/22/18,171.8,173.95,171.71,172.5,30991940,1.091,1,,4/1/18,1.091
2/21/18,172.83,174.12,171.01,171.07,37471623,1.25,0,,3/31/18,1.25
2/20/18,172.05,174.26,171.42,171.85,33930540,1.333,1,,3/30/18,1.333
2/16/18,172.36,174.82,171.77,172.43,40176091,1.235,0,,3/29/18,1.235
2/15/18,169.79,173.09,169,172.99,51147171,0.432,0,,3/28/18,0.432
2/14/18,163.045,167.54,162.88,167.37,40644933,1.308,1,,3/27/18,1.308
2/13/18,161.95,164.75,161.65,164.34,32549163,1.383,1,,3/26/18,1.383
2/12/18,158.5,163.89,157.51,162.71,60819539,1.5,0,,3/25/18,1.5
2/9/18,157.07,157.89,150.24,156.41,70672608,1.161,0,,3/24/18,1.161
2/8/18,160.29,161,155.03,155.15,54390516,0.535,1,,3/23/18,0.535
2/7/18,163.085,163.4,159.0685,159.54,51608580,0.846,1,,3/22/18,0.846
2/6/18,154.83,163.72,154,163.03,68243838,0.367,0,,3/21/18,0.367
2/5/18,159.1,163.88,156,156.49,72738522,1.696,0,,3/20/18,1.696
2/2/18,166,166.8,160.1,160.5,86593825,0.073,0,,3/19/18,0.073
2/1/18,167.165,168.62,166.76,167.78,47230787,-2.143,1,,3/18/18,-2.143
1/31/18,166.87,168.4417,166.5,167.43,32478930,0.889,1,,3/17/18,0.889
1/30/18,165.525,167.37,164.7,166.97,46048185,1.923,0,,3/16/18,1.923
1/29/18,170.16,170.16,167.07,167.96,50640406,0.042,0,,3/15/18,0.042
1/26/18,172,172,170.06,171.51,39143011,-1.273,1,,3/14/18,-1.273
1/25/18,174.505,174.95,170.53,171.11,41529004,1.519,0,,3/13/18,1.519
1/24/18,177.25,177.3,173.2,174.22,51105090,1.609,0,,3/12/18,1.609
1/23/18,177.3,179.44,176.82,177.04,32689146,0.75,1,,3/11/18,0.75
1/22/18,177.3,177.78,176.6016,177,27108551,1.111,1,,3/10/18,1.111
1/19/18,178.61,179.58,177.41,178.46,32425067,1.892,0,,3/9/18,1.892
1/18/18,179.37,180.1,178.25,179.26,31193352,-1.067,1,,3/8/18,-1.067
1/17/18,176.15,179.25,175.07,179.1,34386836,0.957,0,,3/7/18,0.957
1/16/18,177.9,179.39,176.14,176.19,29565947,-1.037,1,,3/6/18,-1.037
1/12/18,176.18,177.36,175.65,177.09,25418080,-1.521,1,,3/5/18,-1.521
1/11/18,174.59,175.4886,174.49,175.28,18667729,-1.133,1,,3/4/18,-1.133
1/10/18,173.16,174.3,173,174.29,23959895,2,0,,3/3/18,2
1/9/18,174.55,175.06,173.41,174.33,21583997,1.05,1,,3/2/18,1.05
1/8/18,174.35,175.61,173.93,174.35,20567766,0.2,1,,3/1/18,0.2
1/5/18,173.44,175.37,173.05,175,23660018,0.763,0,,2/28/18,0.763
1/4/18,172.54,173.47,172.08,173.03,22434597,0.731,1,,2/27/18,0.731
1/3/18,172.53,174.55,171.96,172.23,29517899,0.986,0,,2/26/18,0.986
1/2/18,170.16,172.3,169.26,172.26,25555934,-1.452,1,,2/25/18,-1.452
12/29/17,170.52,170.59,169.22,169.23,25999922,0.325,0,,2/24/18,0.325
12/28/17,171,171.85,170.48,171.08,16480187,-1.538,1,,2/23/18,-1.538
12/27/17,170.1,170.78,169.71,170.6,21498213,0.173,0,,2/22/18,0.173
12/26/17,170.8,171.47,169.679,170.57,33185536,0.512,0,,2/21/18,0.512
12/22/17,174.68,175.424,174.5,175.01,16349444,0.091,1,,2/20/18,0.091
12/21/17,174.17,176.02,174.1,175.01,20949896,1,0,,2/19/18,1
12/20/17,174.87,175.42,173.25,174.35,23475649,0.25,0,,2/18/18,0.25
12/19/17,175.03,175.39,174.09,174.54,27436447,-1.75,0,,2/17/18,-1.75
12/18/17,174.88,177.2,174.86,176.42,29421114,0.075,0,,2/16/18,0.075
12/15/17,173.63,174.17,172.46,173.97,40169307,0.905,0,,2/15/18,0.905
12/14/17,172.4,173.13,171.65,172.22,20476541,0.929,1,,2/14/18,0.929
12/13/17,172.5,173.54,172,172.27,23818447,1.72,0,,2/13/18,1.72
12/12/17,172.15,172.39,171.461,171.7,19409230,0.487,1,,2/12/18,0.487
12/11/17,169.2,172.89,168.79,172.67,35273759,-3,0,,2/11/18,-3
12/8/17,170.49,171,168.82,169.37,23355231,-1.857,1,,2/10/18,-1.857
12/7/17,169.03,170.44,168.91,169.32,25673308,-2.156,0,,2/9/18,-2.156
12/6/17,167.5,170.2047,166.46,169.01,28560000,1.306,0,,2/8/18,1.306
12/5/17,169.06,171.52,168.4,169.64,27350154,1.4,1,,2/7/18,1.4
12/4/17,172.48,172.62,169.63,169.8,32542385,0.182,0,,2/6/18,0.182
12/1/17,169.95,171.67,168.5,171.05,39759288,0.269,0,,2/5/18,0.269
11/30/17,170.43,172.14,168.44,171.85,41527218,0.771,0,,2/4/18,0.771
11/29/17,172.63,172.92,167.16,169.48,41666364,0.594,0,,2/3/18,0.594
11/28/17,174.3,174.87,171.86,173.07,26428802,0.482,1,,2/2/18,0.482
11/27/17,175.05,175.08,173.34,174.09,20716802,0.384,1,,2/1/18,0.384
11/24/17,175.1,175.5,174.6459,174.97,14026673,-1.343,1,,1/31/18,-1.343
11/22/17,173.36,175,173.05,174.96,25588925,-2.067,0,,1/30/18,-2.067
11/21/17,170.78,173.7,170.78,173.14,25131295,0.25,1,,1/29/18,0.25
11/20/17,170.29,170.56,169.56,169.98,16262447,1.652,1,,1/28/18,1.652
11/17/17,171.04,171.39,169.64,170.15,21899544,1.438,0,,1/27/18,1.438
11/16/17,171.18,171.87,170.3,171.1,23637484,0.921,0,,1/26/18,0.921
11/15/17,169.97,170.3197,168.38,169.08,29158070,0.3,0,,1/25/18,0.3
11/14/17,173.04,173.48,171.18,171.34,24782487,0.299,1,,1/24/18,0.299
11/13/17,173.5,174.5,173.4,173.97,16982080,0.68,1,,1/23/18,0.68
11/10/17,175.11,175.38,174.27,174.67,25145500,0.776,0,,1/22/18,0.776
11/9/17,175.11,176.095,173.14,175.88,29185668,2,0,,1/21/18,2
11/8/17,174.66,176.24,174.33,176.24,23907639,0.929,1,,1/20/18,0.929
11/7/17,173.91,175.25,173.6,174.81,24361485,0.122,0,,1/19/18,0.122
11/6/17,172.365,174.99,171.72,174.25,35026306,0.5,0,,1/18/18,0.5
11/3/17,174,174.26,171.12,172.5,59398631,0.776,0,,1/17/18,0.776
11/2/17,167.64,168.5,165.28,168.11,41393373,1.259,1,,1/16/18,1.259
11/1/17,169.87,169.94,165.61,166.89,33637762,1,1,,1/15/18,1
10/31/17,167.9,169.6499,166.94,169.04,36046828,0.647,0,,1/14/18,0.647
10/30/17,163.89,168.07,163.72,166.72,44700772,0.429,0,,1/13/18,0.429
10/27/17,159.29,163.6,158.7,163.05,44454160,0.548,1,,1/12/18,0.548
10/26/17,157.23,157.8295,156.78,157.41,17000469,2,1,,1/11/18,2
10/25/17,156.91,157.55,155.27,156.41,21207098,-1.157,0,,1/10/18,-1.157
10/24/17,156.29,157.42,156.2,157.1,17757230,-1.085,1,,1/9/18,-1.085
10/23/17,156.89,157.69,155.5,156.17,21984327,-1.263,0,,1/8/18,-1.263
10/20/17,156.61,157.75,155.96,156.25,23974146,-1.529,0,,1/7/18,-1.529
10/19/17,156.75,157.08,155.02,155.98,42584166,-1.741,0,,1/6/18,-1.741
10/18/17,160.42,160.71,159.6,159.76,16374164,-1.89,1,,1/5/18,-1.89
10/17/17,159.78,160.87,159.23,160.47,18997275,-2.246,0,,1/4/18,-2.246
10/16/17,157.9,160,157.65,159.88,24121452,0.304,0,,1/3/18,0.304
10/13/17,156.73,157.28,156.41,156.99,16394188,2,1,,1/2/18,2
10/12/17,156.35,157.37,155.7299,156,16125054,-1.083,1,,1/1/18,-1.083
10/11/17,155.97,156.98,155.75,156.55,16905640,-1.1,0,,12/31/17,-1.1
10/10/17,156.055,158,155.1,155.9,15617014,2.4,1,,12/30/17,2.4
10/9/17,155.81,156.73,155.485,155.84,16262923,0.097,0,,12/29/17,0.097
10/6/17,154.97,155.49,154.56,155.3,17407558,0.722,0,,12/28/17,0.722
10/5/17,154.18,155.44,154.05,155.39,21283769,0.425,0,,12/27/17,0.425
10/4/17,153.63,153.86,152.46,153.48,20163750,-1.24,1,,12/26/17,-1.24
10/3/17,154.01,155.09,153.91,154.48,16230293,-1.556,1,,12/25/17,-1.556
10/2/17,154.26,154.45,152.72,153.81,18698842,1,0,,12/24/17,1
9/29/17,153.21,154.13,152,154.12,26299810,-2.154,0,,12/23/17,-2.154
9/28/17,153.89,154.28,152.7,153.28,22005455,0.073,1,,12/22/17,0.073
9/27/17,153.8,154.7189,153.54,154.23,25504227,0.526,0,,12/21/17,0.526
9/26/17,151.78,153.92,151.69,153.14,36660045,-1.067,0,,12/20/17,-1.067
9/25/17,149.99,151.83,149.16,150.55,44387336,0.313,0,,12/19/17,0.313
9/22/17,152.02,152.27,150.56,151.89,46645443,1.04,0,,12/18/17,1.04
9/21/17,155.8,155.8,152.75,153.39,37511661,-1.6,1,,12/17/17,-1.6
9/20/17,157.9,158.26,153.83,156.07,52951364,-1,0,,12/16/17,-1
9/19/17,159.51,159.77,158.44,158.73,20810632,2.021,1,,12/15/17,2.021
9/18/17,160.11,160.5,157.995,158.67,28269435,2.459,0,,12/14/17,2.459
9/15/17,158.47,160.97,158,159.88,49114602,1.982,0,,12/13/17,1.982
9/14/17,158.99,159.4,158.09,158.28,23760749,1.474,1,,12/12/17,1.474
9/13/17,159.87,159.96,157.91,159.65,44907361,1.696,0,,12/11/17,1.696
9/12/17,162.61,163.96,158.77,160.86,71714046,0.75,0,,12/10/17,0.75
9/11/17,160.5,162.05,159.89,161.5,31580798,-1.444,1,,12/9/17,-1.444
9/8/17,160.86,161.15,158.53,158.63,28611535,1.809,1,,12/8/17,1.809
9/7/17,162.09,162.24,160.36,161.26,21928502,2.625,1,,12/7/17,2.625
9/6/17,162.71,162.99,160.52,161.91,21651726,1.477,1,,12/6/17,1.477
9/5/17,163.75,164.25,160.56,162.08,29536314,1,0,,12/5/17,1
9/1/17,164.8,164.94,163.63,164.05,16591051,-1.5,1,,12/4/17,-1.5
8/31/17,163.64,164.52,163.48,164,26785096,1.444,0,,12/3/17,1.444
8/30/17,163.8,163.89,162.61,163.35,27269584,-2,0,,12/2/17,-2
8/29/17,160.1,163.12,160,162.91,29516910,-1.25,0,,12/1/17,-1.25
8/28/17,160.14,162,159.93,161.47,25965972,1.063,1,,11/30/17,1.063
8/25/17,159.65,160.56,159.27,159.86,25480063,0.906,1,,11/29/17,0.906
8/24/17,160.43,160.74,158.55,159.27,19818918,1.063,1,,11/28/17,1.063
8/23/17,159.07,160.47,158.88,159.98,19399081,2.333,1,,11/27/17,2.333
8/22/17,158.23,160,158.02,159.78,21604585,0.857,0,,11/26/17,0.857
8/21/17,157.5,157.89,155.1101,157.21,26368528,0,0,,11/25/17,0
8/18/17,157.86,159.5,156.72,157.5,27428069,1.222,0,,11/24/17,1.222
8/17/17,160.52,160.71,157.84,157.86,27940565,0.538,0,,11/23/17,0.538
8/16/17,161.94,162.51,160.15,160.95,27671612,1.605,1,,11/22/17,1.605
8/15/17,160.66,162.195,160.14,161.6,29465487,1.583,0,,11/21/17,1.583
8/14/17,159.32,160.21,158.75,159.85,22122734,0.412,1,,11/20/17,0.412
8/11/17,156.6,158.5728,156.07,157.48,26257096,1,0,,11/19/17,1
8/10/17,159.9,160,154.63,155.32,40804273,0,0,,11/18/17,0
8/9/17,159.26,161.27,159.11,161.059998,26131530,0.545,1,,11/17/17,0.545
8/8/17,158.6,161.83,158.27,160.08,36205896,1.091,0,,11/16/17,1.091
8/7/17,157.06,158.92,156.6701,158.81,21870321,-1.264,1,,11/15/17,-1.264
8/4/17,156.07,157.4,155.69,156.39,20559852,1.206,1,,11/14/17,1.206
8/3/17,157.05,157.21,155.02,155.57,27097296,0.55,0,,11/13/17,0.55
8/2/17,159.28,159.75,156.16,157.14,69936800,0.8,0,,11/12/17,0.8
8/1/17,149.1,150.22,148.41,150.05,35368645,2,1,,11/11/17,2
7/31/17,149.9,150.33,148.13,148.73,19845920,1.32,1,,11/10/17,1.32
7/28/17,149.89,150.23,149.19,149.5,17213653,1.932,1,,11/9/17,1.932
7/27/17,153.75,153.99,147.3,150.56,32476337,-1.219,0,,11/8/17,-1.219
7/26/17,153.35,153.93,153.06,153.46,15780951,0.13,1,,11/7/17,0.13
7/25/17,151.8,153.84,151.8,152.74,18853932,1.75,0,,11/6/17,1.75
7/24/17,150.58,152.44,149.9,152.09,21493160,1.273,0,,11/5/17,1.273
7/21/17,149.99,150.44,148.88,150.27,26252630,3.5,0,,11/4/17,3.5
7/20/17,151.5,151.74,150.19,150.34,17243748,1.8,1,,11/3/17,1.8
7/19/17,150.48,151.42,149.95,151.02,20922969,1.107,0,,11/2/17,1.107
7/18/17,149.2,150.13,148.67,150.08,17868792,1.75,1,,11/1/17,1.75
7/17/17,148.82,150.9,148.57,149.56,23793456,1.308,0,,10/31/17,1.308
7/14/17,147.97,149.33,147.33,149.04,20132061,0.733,1,,10/30/17,0.733
7/13/17,145.5,148.49,145.44,147.77,25199373,-1,0,,10/29/17,-1
7/12/17,145.87,146.18,144.82,145.74,24884478,0.722,1,,10/28/17,0.722
7/11/17,144.73,145.85,144.38,145.53,19781836,1.486,1,,10/27/17,1.486
7/10/17,144.11,145.95,143.37,145.06,21090636,1.579,0,,10/26/17,1.579
7/7/17,142.9,144.75,142.9,144.18,19201712,0.917,1,,10/25/17,0.917
7/6/17,143.02,143.5,142.41,142.73,24128782,0.464,0,,10/24/17,0.464
7/5/17,143.69,144.79,142.7237,144.09,21569557,0.026,1,,10/23/17,0.026
7/3/17,144.88,145.3,143.1,143.5,14258300,-1.31,1,,10/22/17,-1.31
6/30/17,144.45,144.96,143.78,144.02,23024107,-1.538,0,,10/21/17,-1.538
6/29/17,144.71,145.13,142.28,143.68,31499368,1.07,0,,10/20/17,1.07
6/28/17,144.49,146.11,143.1601,145.83,22082432,-1.333,1,,10/19/17,-1.333
6/27/17,145.01,146.16,143.62,143.73,24761891,1.8,0,,10/18/17,1.8
6/26/17,147.17,148.28,145.38,145.82,25692361,0.3,0,,10/17/17,0.3
6/23/17,145.13,147.16,145.11,146.28,35439389,1.077,0,,10/16/17,1.077
6/22/17,145.77,146.7,145.1199,145.63,19106294,-1.312,1,,10/15/17,-1.312
6/21/17,145.52,146.0693,144.61,145.87,21265751,1.571,0,,10/14/17,1.571
6/20/17,146.87,146.87,144.94,145.01,24900073,1.59,0,,10/13/17,1.59
6/19/17,143.66,146.74,143.66,146.34,32541404,-1.167,0,,10/12/17,-1.167
6/16/17,143.78,144.5,142.2,142.27,50361093,1.625,0,,10/11/17,1.625
6/15/17,143.32,144.4798,142.21,144.29,32165373,1.833,1,,10/10/17,1.833
6/14/17,147.5,147.5,143.84,145.16,31531232,0.941,1,,10/9/17,0.941
6/13/17,147.16,147.45,145.15,146.59,34165445,2.5,0,,10/8/17,2.5
6/12/17,145.74,146.09,142.51,145.42,72307330,0.429,0,,10/7/17,0.429
6/9/17,155.19,155.19,146.02,148.98,64882657,1.528,1,,10/6/17,1.528
6/8/17,155.25,155.54,154.4,154.99,21250798,1.143,1,,10/5/17,1.143
6/7/17,155.02,155.98,154.48,155.37,21069647,1.031,1,,10/4/17,1.031
